QueryID,BestEvalue,FASTA_Header,UniProt_ID,DrugBank_IDs
drugbank_target|P35520,4.42e-100,drugbank_target|P35520 Cystathionine beta-synthase (DB00114; DB00118; DB00151),P35520,DB00114;DB00118;DB00151
drugbank_target|P35527,3.37e-14,"drugbank_target|P35527 Keratin, type I cytoskeletal 9 (DB01593; DB09130; DB14487; DB14533; DB14548)",P35527,DB01593;DB09130;DB14487;DB14533;DB14548
drugbank_target|P35556,2.51e-34,drugbank_target|P35556 Fibrillin-2 (DB11093; DB11348; DB14481),P35556,DB11093;DB11348;DB14481
drugbank_target|P35558,0,"drugbank_target|P35558 Phosphoenolpyruvate carboxykinase, cytosolic [GTP] (DB06757)",P35558,DB06757
drugbank_target|P35579,0,drugbank_target|P35579 Myosin-9 (DB11638),P35579,DB11638
drugbank_target|P35590,1.48e-64,drugbank_target|P35590 Tyrosine-protein kinase receptor Tie-1 (DB12010),P35590,DB12010
drugbank_target|P35754,5.87e-26,drugbank_target|P35754 Glutaredoxin-1 (DB00143),P35754,DB00143
drugbank_target|P35858,3.69e-42,drugbank_target|P35858 Insulin-like growth factor-binding protein complex acid labile subunit (DB01593; DB09130; DB14487; DB14533; DB14548),P35858,DB01593;DB09130;DB14487;DB14533;DB14548
drugbank_target|P35869,1.57e-52,drugbank_target|P35869 Aryl hydrocarbon receptor (DB00338; DB00379; DB00393; DB00499; DB01076; DB01097; DB06083; DB08995; DB12328),P35869,DB00338;DB00379;DB00393;DB00499;DB01076;DB01097;DB06083;DB08995;DB12328
drugbank_target|P35908,2.39e-24,"drugbank_target|P35908 Keratin, type II cytoskeletal 2 epidermal (DB01593; DB09130; DB11157; DB14487)",P35908,DB01593;DB09130;DB11157;DB14487
drugbank_target|P35913,3.98e-78,"drugbank_target|P35913 Rod cGMP-specific 3',5'-cyclic phosphodiesterase subunit beta (DB00201)",P35913,DB00201
drugbank_target|P35916,1.92e-61,drugbank_target|P35916 Vascular endothelial growth factor receptor 3 (DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079; DB11679; DB11800; DB12010; DB15685),P35916,DB00398;DB01268;DB06589;DB06626;DB08896;DB09078;DB09079;DB11679;DB11800;DB12010;DB15685
drugbank_target|P35968,2.5e-64,drugbank_target|P35968 Vascular endothelial growth factor receptor 2 (DB00398; DB01268; DB05294; DB05578; DB06589; DB06595; DB06626; DB08875; DB08896; DB08901; DB09078; DB09079; DB11679; DB11800; DB11828; DB12010; DB12147; DB14840; DB15822),P35968,DB00398;DB01268;DB05294;DB05578;DB06589;DB06595;DB06626;DB08875;DB08896;DB08901;DB09078;DB09079;DB11679;DB11800;DB11828;DB12010;DB12147;DB14840;DB15822
drugbank_target|P36021,7.92e-22,drugbank_target|P36021 Monocarboxylate transporter 8 (DB00119),P36021,DB00119
drugbank_target|P36507,1.24e-130,drugbank_target|P36507 Dual specificity mitogen-activated protein kinase kinase 2 (DB06616; DB08911; DB11689; DB11967; DB12010),P36507,DB06616;DB08911;DB11689;DB11967;DB12010
drugbank_target|P36542,4.7e-111,"drugbank_target|P36542 ATP synthase subunit gamma, mitochondrial (DB01119)",P36542,DB01119
drugbank_target|P36543,1.93e-86,drugbank_target|P36543 V-type proton ATPase subunit E 1 (DB01133),P36543,DB01133
drugbank_target|P36544,1.55e-140,drugbank_target|P36544 Neuronal acetylcholine receptor subunit alpha-7 (DB00202; DB00237; DB00565),P36544,DB00122;DB00184;DB00193;DB00202;DB00237;DB00241;DB00246;DB00306;DB00312;DB00333;DB00418;DB00514;DB00565;DB00599;DB00657;DB00674;DB00794;DB00849;DB00898;DB00915;DB01043;DB01174;DB01199;DB01221;DB01273;DB01351;DB01353;DB03128;DB08823;DB09061;DB14006;DB19353
drugbank_target|P36578,3.01e-149,drugbank_target|P36578 Large ribosomal subunit protein uL4 (DB11638),P36578,DB11638
drugbank_target|P36873,0,drugbank_target|P36873 Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (DB06757),P36873,DB06757
drugbank_target|P36888,6.43e-68,drugbank_target|P36888 Receptor-type tyrosine-protein kinase FLT3 (DB00398; DB00495; DB01268; DB06595; DB08901; DB09079; DB11697; DB11763; DB11800; DB12010; DB12141; DB12267; DB12500; DB12874; DB12978; DB15822),P36888,DB00398;DB00495;DB01268;DB06595;DB08901;DB09079;DB11697;DB11763;DB11800;DB12010;DB12141;DB12267;DB12500;DB12874;DB12978;DB15822
drugbank_target|P36896,9.21e-113,drugbank_target|P36896 Activin receptor type-1B (DB12010; DB12118),P36896,DB12010;DB12118
drugbank_target|P36897,2.29e-114,drugbank_target|P36897 TGF-beta receptor type-1 (DB12010),P36897,DB12010
drugbank_target|P36955,2.36e-21,drugbank_target|P36955 Pigment epithelium-derived factor (DB09130),P36955,DB09130
drugbank_target|P36956,5.76e-62,drugbank_target|P36956 Sterol regulatory element-binding protein 1 (DB03756; DB09539; DB11133; DB13961),P36956,DB03756;DB09539;DB11133;DB13961
drugbank_target|P36969,4.2e-48,drugbank_target|P36969 Phospholipid hydroperoxide glutathione peroxidase GPX4 (DB00143; DB03310; DB09096),P36969,DB00143;DB03310;DB09096
drugbank_target|P37058,1.69e-38,drugbank_target|P37058 17-beta-hydroxysteroid dehydrogenase type 3 (DB00157),P37058,DB00157
drugbank_target|P37059,2.39e-36,drugbank_target|P37059 17-beta-hydroxysteroid dehydrogenase type 2 (DB00157; DB13952; DB13953; DB13954; DB13955; DB13956),P37059,DB00157;DB13952;DB13953;DB13954;DB13955;DB13956
drugbank_target|P37062,1.38e-18,drugbank_target|P37062 NADH peroxidase (DB03147),P37062,DB03147
drugbank_target|P37063,4.6e-24,drugbank_target|P37063 Pyruvate oxidase (DB03147),P37063,DB03147
drugbank_target|P37088,1.15e-35,drugbank_target|P37088 Amiloride-sensitive sodium channel subunit alpha (DB00384; DB00594),P37088,DB00384;DB00594
drugbank_target|P37108,3.62e-31,drugbank_target|P37108 Signal recognition particle 14 kDa protein (DB11638),P37108,DB11638
drugbank_target|P37173,1.45e-48,drugbank_target|P37173 TGF-beta receptor type-2 (DB10770; DB10772; DB12010),P37173,DB10770;DB10772;DB12010
drugbank_target|P37231,3.74e-27,drugbank_target|P37231 Peroxisome proliferator-activated receptor gamma (DB00132; DB00159; DB00197; DB00244; DB00313; DB00328; DB00412; DB00573; DB00731; DB00795; DB00845; DB00912; DB00966; DB01014; DB01050; DB01067; DB01118; DB01132; DB01393; DB02266; DB03756; DB04224; DB05187; DB08604; DB09061; DB09213; DB11133; DB11672; DB13873; DB13961),P37231,DB00132;DB00159;DB00197;DB00244;DB00313;DB00328;DB00412;DB00573;DB00731;DB00795;DB00845;DB00912;DB00966;DB01014;DB01050;DB01067;DB01118;DB01132;DB01393;DB02266;DB03756;DB04224;DB05187;DB08604;DB09061;DB09213;DB11133;DB11672;DB13873;DB13961
drugbank_target|P37802,1.16e-25,drugbank_target|P37802 Transgelin-2 (DB11638),P37802,DB11638
drugbank_target|P38038,1.01e-71,drugbank_target|P38038 Sulfite reductase [NADPH] flavoprotein alpha-component (DB03147),P38038,DB03147
drugbank_target|P38516,2.9e-22,drugbank_target|P38516 50S ribosomal protein L4 (DB04272),P38516,DB04272
drugbank_target|P38545,2.31e-69,drugbank_target|P38545 GTP-binding nuclear protein Ran (DB11638),P38545,DB11638
drugbank_target|P38606,0,drugbank_target|P38606 V-type proton ATPase catalytic subunit A (DB01133),P38606,DB00630;DB01077;DB01133
drugbank_target|P38936,9.33e-05,drugbank_target|P38936 Cyclin-dependent kinase inhibitor 1 (DB00313; DB01169),P38936,DB00313;DB01169
drugbank_target|P39019,1.22e-48,drugbank_target|P39019 Small ribosomal subunit protein eS19 (DB11638),P39019,DB11638
drugbank_target|P39023,0,drugbank_target|P39023 Large ribosomal subunit protein uL3 (DB04865; DB09092),P39023,DB04865;DB09092
drugbank_target|P39086,2.23e-123,"drugbank_target|P39086 Glutamate receptor ionotropic, kainate 1 (DB00273)",P39086,DB00142;DB00237;DB00273
drugbank_target|P39126,7.2e-54,drugbank_target|P39126 Isocitrate dehydrogenase [NADP] (DB04272),P39126,DB04272
drugbank_target|P39748,2.71e-174,drugbank_target|P39748 Flap endonuclease 1 (DB01592; DB14488; DB14489; DB14490; DB14491; DB14501),P39748,DB01592;DB14488;DB14489;DB14490;DB14491;DB14501
drugbank_target|P39900,2.26e-24,drugbank_target|P39900 Macrophage metalloelastase (DB00551),P39900,DB00551
drugbank_target|P40261,7.67e-29,drugbank_target|P40261 Nicotinamide N-methyltransferase (DB00627),P40261,DB00627
drugbank_target|P40306,1.16e-64,drugbank_target|P40306 Proteasome subunit beta type-10 (DB08889),P40306,DB08889
drugbank_target|P40394,6.58e-127,drugbank_target|P40394 All-trans-retinol dehydrogenase [NAD(+)] ADH7 (DB00157; DB00898),P40394,DB00157;DB00898
drugbank_target|P40859,5.54e-11,drugbank_target|P40859 Monomeric sarcosine oxidase (DB03147),P40859,DB03147
drugbank_target|P40925,1.64e-116,"drugbank_target|P40925 Malate dehydrogenase, cytoplasmic (DB00157; DB11638)",P40925,DB00157;DB11638
drugbank_target|P40926,1.88e-62,"drugbank_target|P40926 Malate dehydrogenase, mitochondrial (DB00157; DB04272; DB09092)",P40926,DB00157;DB04272;DB09092
drugbank_target|P40939,0,"drugbank_target|P40939 Trifunctional enzyme subunit alpha, mitochondrial (DB00157)",P40939,DB00157
drugbank_target|P41143,7.67e-28,drugbank_target|P41143 Delta-type opioid receptor (DB00193; DB00295; DB00318; DB00321; DB00327; DB00333; DB00497; DB00514; DB00611; DB00647; DB00704; DB00708; DB00813; DB00836; DB00844; DB00854; DB00899; DB00921; DB00956; DB01081; DB01183; DB01192; DB01221; DB01238; DB01452; DB06204; DB06230; DB06274; DB06288; DB09061; DB09099; DB09209; DB09272; DB11130; DB11691; DB12543),P41143,DB00193;DB00295;DB00318;DB00321;DB00327;DB00333;DB00497;DB00514;DB00611;DB00647;DB00704;DB00708;DB00813;DB00836;DB00844;DB00854;DB00899;DB00921;DB00956;DB01081;DB01183;DB01192;DB01221;DB01238;DB01452;DB06204;DB06230;DB06274;DB06288;DB09061;DB09099;DB09209;DB09272;DB11130;DB11691;DB12543
drugbank_target|P41145,2.26e-35,drugbank_target|P41145 Kappa-type opioid receptor (DB00193; DB00289; DB00295; DB00318; DB00321; DB00327; DB00370; DB00396; DB00454; DB00497; DB00514; DB00555; DB00611; DB00647; DB00652; DB00704; DB00708; DB00813; DB00825; DB00836; DB00844; DB00854; DB00899; DB00921; DB01183; DB01209; DB01221; DB01238; DB01243; DB01452; DB04815; DB06148; DB06204; DB06230; DB06274; DB06288; DB06800; DB09209; DB09272; DB11130; DB11186; DB11691; DB11938; DB12543),P41145,DB00193;DB00289;DB00295;DB00318;DB00321;DB00327;DB00370;DB00396;DB00454;DB00497;DB00514;DB00555;DB00611;DB00647;DB00652;DB00704;DB00708;DB00813;DB00825;DB00836;DB00844;DB00854;DB00899;DB00921;DB01183;DB01209;DB01221;DB01238;DB01243;DB01452;DB04815;DB06148;DB06204;DB06230;DB06274;DB06288;DB06800;DB09209;DB09272;DB11130;DB11186;DB11691;DB11938;DB12543
drugbank_target|P41146,3.12e-37,drugbank_target|P41146 Nociceptin receptor (DB00921),P41146,DB00921
drugbank_target|P41180,2.91e-65,drugbank_target|P41180 Extracellular calcium-sensing receptor (DB00994; DB01012; DB11093; DB11348; DB12865; DB14481),P41180,DB00994;DB01012;DB11093;DB11348;DB12865;DB14481
drugbank_target|P41235,3.97e-88,drugbank_target|P41235 Hepatocyte nuclear factor 4-alpha (DB03017),P41235,DB03017
drugbank_target|P41240,1.28e-94,drugbank_target|P41240 Tyrosine-protein kinase CSK (DB01254; DB12010),P41240,DB01254;DB12010
drugbank_target|P41250,0,drugbank_target|P41250 Glycine--tRNA ligase (DB00145),P41250,DB00145
drugbank_target|P41440,5.91e-68,drugbank_target|P41440 Reduced folate transporter (DB00158; DB00563),P41440,DB00158;DB00563
drugbank_target|P41594,3.1e-111,drugbank_target|P41594 Metabotropic glutamate receptor 5 (DB00659; DB06201),P41594,DB00659;DB06201
drugbank_target|P41595,2.24e-51,drugbank_target|P41595 5-hydroxytryptamine receptor 2B (DB01221),P41595,DB00247;DB00248;DB00315;DB00320;DB00353;DB00434;DB00477;DB00508;DB00543;DB00574;DB00589;DB00696;DB00714;DB00715;DB00805;DB00924;DB01049;DB01079;DB01142;DB01186;DB01200;DB01221;DB01238;DB01239;DB01242;DB01392;DB06016;DB06148;DB06153;DB06216;DB08804;DB09128;DB09185;DB11273;DB11274;DB12141;DB13345;DB13520
drugbank_target|P41743,0,drugbank_target|P41743 Protein kinase C iota type (DB00675; DB04209; DB09096),P41743,DB00675;DB04209;DB09096;DB12010
drugbank_target|P41972,7.69e-156,drugbank_target|P41972 Isoleucine--tRNA ligase (DB00410),P41972,DB00410
drugbank_target|P42261,2.76e-135,drugbank_target|P42261 Glutamate receptor 1 (DB00142; DB00237; DB00555; DB00753; DB00898; DB01028; DB01189; DB01236; DB08883; DB13146),P42261,DB00142;DB00237;DB00555;DB00753;DB00898;DB01028;DB01189;DB01236;DB08883;DB13146
drugbank_target|P42262,1.18e-136,drugbank_target|P42262 Glutamate receptor 2 (DB00142; DB00237; DB00241; DB00306; DB00312; DB00418; DB00599; DB00794; DB00849; DB00898; DB01174; DB01346; DB01351; DB01353; DB08883; DB13146),P42262,DB00142;DB00237;DB00241;DB00306;DB00312;DB00418;DB00599;DB00794;DB00849;DB00898;DB01174;DB01346;DB01351;DB01353;DB08883;DB13146
drugbank_target|P42263,1.06e-134,drugbank_target|P42263 Glutamate receptor 3 (DB00142; DB00237; DB00898; DB08883; DB13146; DB14507; DB14509),P42263,DB00142;DB00237;DB00898;DB08883;DB13146;DB14507;DB14509
drugbank_target|P42330,7.86e-75,drugbank_target|P42330 Aldo-keto reductase family 1 member C3 (DB00157; DB00328; DB01698; DB02266; DB09074),P42330,DB00157;DB00328;DB01698;DB02266;DB09074
drugbank_target|P42336,1.16e-137,"drugbank_target|P42336 Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform (DB00201; DB12015; DB12483; DB15275)",P42336,DB00201;DB12015;DB12483;DB15275
drugbank_target|P42338,1.97e-100,"drugbank_target|P42338 Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (DB00201; DB12483)",P42338,DB00201;DB12483
drugbank_target|P42345,0,drugbank_target|P42345 Serine/threonine-protein kinase mTOR (DB00337; DB00877; DB01590; DB06287; DB11978; DB12010),P42345,DB00337;DB00877;DB01590;DB06287;DB11978;DB12010
drugbank_target|P42574,3.07e-17,drugbank_target|P42574 Caspase-3 (DB00282; DB00945; DB01017; DB13751),P42574,DB00282;DB00945;DB01017;DB13751
drugbank_target|P42593,7.91e-19,"drugbank_target|P42593 2,4-dienoyl-CoA reductase [NADPH] (DB03147; DB03247)",P42593,DB03147;DB03247
drugbank_target|P42679,1.82e-73,drugbank_target|P42679 Megakaryocyte-associated tyrosine-protein kinase (DB12010),P42679,DB12010
drugbank_target|P42680,1.05e-79,drugbank_target|P42680 Tyrosine-protein kinase Tec (DB06616; DB12010; DB14924; DB15035),P42680,DB06616;DB12010;DB14924;DB15035
drugbank_target|P42681,4.64e-87,drugbank_target|P42681 Tyrosine-protein kinase TXK (DB12010; DB14924; DB15035),P42681,DB12010;DB14924;DB15035
drugbank_target|P42684,0,drugbank_target|P42684 Tyrosine-protein kinase ABL2 (DB01254; DB12010),P42684,DB01254;DB12010
drugbank_target|P42685,2.25e-106,drugbank_target|P42685 Tyrosine-protein kinase FRK (DB01254; DB08896; DB12010; DB15035),P42685,DB01254;DB08896;DB12010;DB15035
drugbank_target|P42766,3.92e-56,drugbank_target|P42766 Large ribosomal subunit protein uL29 (DB11638),P42766,DB11638
drugbank_target|P42858,1.42e-20,drugbank_target|P42858 Huntingtin (DB09130),P42858,DB09130
drugbank_target|P43003,1.43e-141,drugbank_target|P43003 Excitatory amino acid transporter 1 (DB00142),P43003,DB00142
drugbank_target|P43004,9.48e-160,drugbank_target|P43004 Excitatory amino acid transporter 2 (DB00142),P43004,DB00142
drugbank_target|P43005,1.47e-137,drugbank_target|P43005 Excitatory amino acid transporter 3 (DB00128; DB00142),P43005,DB00128;DB00142
drugbank_target|P43116,5.56e-05,drugbank_target|P43116 Prostaglandin E2 receptor EP2 subtype (DB00374; DB00688; DB00770; DB00917; DB00929; DB01088; DB08964; DB11629; DB12789; DB15071),P43116,DB00374;DB00688;DB00770;DB00917;DB00929;DB01088;DB08964;DB11629;DB12789;DB15071
drugbank_target|P43155,9.45e-129,drugbank_target|P43155 Carnitine O-acetyltransferase (DB00583),P43155,DB00583
drugbank_target|P43166,7.3e-47,drugbank_target|P43166 Carbonic anhydrase 7 (DB00562; DB00606),P43166,DB00562;DB00606;DB00703;DB00774;DB00819;DB00909;DB01144
drugbank_target|P43220,1.76e-33,drugbank_target|P43220 Glucagon-like peptide 1 receptor (DB00040; DB01276; DB01278; DB06655; DB09043; DB09045; DB09265; DB13928; DB15171),P43220,DB00040;DB01276;DB01278;DB06655;DB09043;DB09045;DB09265;DB13928;DB15171
drugbank_target|P43353,3.99e-142,drugbank_target|P43353 Aldehyde dehydrogenase family 3 member B1 (DB00157),P43353,DB00157
drugbank_target|P43403,8.33e-63,drugbank_target|P43403 Tyrosine-protein kinase ZAP-70 (DB12010),P43403,DB12010
drugbank_target|P43405,6.74e-60,drugbank_target|P43405 Tyrosine-protein kinase SYK (DB12010),P43405,DB12010
drugbank_target|P43487,1.89e-25,drugbank_target|P43487 Ran-specific GTPase-activating protein (DB09130),P43487,DB09130
drugbank_target|P43681,3.96e-109,drugbank_target|P43681 Neuronal acetylcholine receptor subunit alpha-4 (DB00202; DB00237; DB00565),P43681,DB00184;DB00202;DB00237;DB00241;DB00306;DB00312;DB00333;DB00416;DB00418;DB00514;DB00564;DB00565;DB00572;DB00599;DB00657;DB00747;DB00753;DB00783;DB00794;DB00849;DB00898;DB00915;DB00981;DB01090;DB01116;DB01174;DB01245;DB01273;DB01351;DB01353;DB13952;DB13953;DB13954;DB13955;DB13956
drugbank_target|P43700,5.39e-18,drugbank_target|P43700 DNA gyrase subunit A (DB00218; DB00365; DB00467; DB00487; DB00537; DB00685; DB00827; DB00978; DB01059; DB01137; DB01155; DB01165; DB01208; DB06771; DB09047; DB12924),P43700,DB00218;DB00365;DB00467;DB00487;DB00537;DB00685;DB00827;DB00978;DB01059;DB01137;DB01155;DB01165;DB01208;DB06771;DB09047;DB12924
drugbank_target|P43702,1.12e-13,drugbank_target|P43702 DNA topoisomerase 4 subunit A (DB00218; DB00365; DB00467; DB00487; DB00537; DB00685; DB00978; DB01059; DB01137; DB01155; DB01165; DB01208; DB06771; DB09047),P43702,DB00218;DB00365;DB00467;DB00487;DB00537;DB00685;DB00978;DB01059;DB01137;DB01155;DB01165;DB01208;DB06771;DB09047
drugbank_target|P44725,2.36e-28,drugbank_target|P44725 Ribose-5-phosphate isomerase A (DB04272),P44725,DB04272
drugbank_target|P45954,4.19e-162,"drugbank_target|P45954 Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (DB00313)",P45954,DB00313
drugbank_target|P45973,6.49e-35,drugbank_target|P45973 Chromobox protein homolog 5 (DB09130),P45973,DB09130
drugbank_target|P45983,8.86e-119,drugbank_target|P45983 Mitogen-activated protein kinase 8 (DB01017),P45983,DB00675;DB01017;DB11718
drugbank_target|P45984,2.13e-113,drugbank_target|P45984 Mitogen-activated protein kinase 9 (DB01017),P45984,DB01017;DB11718;DB12010
drugbank_target|P45985,8.81e-115,drugbank_target|P45985 Dual specificity mitogen-activated protein kinase kinase 4 (DB11718),P45985,DB11718
drugbank_target|P46059,4.79e-63,drugbank_target|P46059 Solute carrier family 15 member 1 (DB00415; DB00417; DB00493; DB00713; DB01053; DB01212; DB03793; DB09213),P46059,DB00415;DB00417;DB00493;DB00713;DB01053;DB01212;DB03793;DB09213
drugbank_target|P46098,2.03e-57,drugbank_target|P46098 5-hydroxytryptamine receptor 3A (DB00246),P46098,DB00246;DB00333;DB00334;DB00363;DB00377;DB00408;DB00543;DB00555;DB00604;DB00715;DB00721;DB00726;DB00728;DB00757;DB00889;DB00898;DB00904;DB00969;DB00988;DB01043;DB01049;DB01156;DB01199;DB01202;DB01221;DB01224;DB01233;DB01238;DB01239;DB09061;DB09068;DB11273;DB11699;DB12141;DB13345;DB14185
drugbank_target|P46439,1.87e-12,drugbank_target|P46439 Glutathione S-transferase Mu 5 (DB03310; DB03619),P46439,DB00143;DB03310;DB03619
drugbank_target|P46663,5.57e-20,drugbank_target|P46663 B1 bradykinin receptor (DB00178; DB01197; DB01593; DB09477; DB14487; DB14533; DB14548),P46663,DB00178;DB01197;DB01593;DB09477;DB14487;DB14533;DB14548
drugbank_target|P46734,2.66e-112,drugbank_target|P46734 Dual specificity mitogen-activated protein kinase kinase 3 (DB12010),P46734,DB12010
drugbank_target|P46736,5.59e-11,drugbank_target|P46736 Lys-63-specific deubiquitinase BRCC36 (DB01593; DB14487; DB14533; DB14548),P46736,DB01593;DB14487;DB14533;DB14548
drugbank_target|P46781,1.96e-107,drugbank_target|P46781 Small ribosomal subunit protein uS4 (DB11638),P46781,DB11638
drugbank_target|P46782,1.84e-126,drugbank_target|P46782 Small ribosomal subunit protein uS7 (DB11638),P46782,DB11638
drugbank_target|P46849,9.39e-11,drugbank_target|P46849 RNA 3'-terminal phosphate cyclase (DB04272),P46849,DB04272
drugbank_target|P46925,1.05e-52,drugbank_target|P46925 Plasmepsin-2 (DB01218; DB11638),P46925,DB01218;DB11638
drugbank_target|P46939,1.62e-160,drugbank_target|P46939 Utrophin (DB01593; DB14487; DB14533; DB14548),P46939,DB01593;DB14487;DB14533;DB14548
drugbank_target|P46940,1.36e-05,drugbank_target|P46940 Ras GTPase-activating-like protein IQGAP1 (DB11638),P46940,DB11638
drugbank_target|P47869,1.36e-78,drugbank_target|P47869 Gamma-aminobutyric acid receptor subunit alpha-2 (DB00186; DB00231; DB00334; DB00349; DB00404; DB00475; DB00555; DB00628; DB00683; DB00690; DB00801; DB00829; DB00842; DB00897; DB00909; DB01068; DB01215; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB12404; DB12537; DB13872),P47869,DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00252;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00418;DB00425;DB00475;DB00543;DB00555;DB00599;DB00603;DB00628;DB00683;DB00690;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00849;DB00897;DB00898;DB00909;DB01028;DB01043;DB01068;DB01107;DB01159;DB01189;DB01198;DB01205;DB01215;DB01236;DB01346;DB01351;DB01353;DB01437;DB01544;DB01558;DB01559;DB01587;DB01588;DB01589;DB01595;DB01708;DB01956;DB02530;DB05087;DB09118;DB11859;DB11901;DB12404;DB12537;DB13872;DB15490
drugbank_target|P47870,1.87e-84,drugbank_target|P47870 Gamma-aminobutyric acid receptor subunit beta-2 (DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00252; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00543; DB00555; DB00603; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01043; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01708; DB01956; DB05087; DB09118; DB11859; DB11901; DB12404; DB12537; DB13872; DB15490),P47870,DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00252;DB00292;DB00306;DB00312;DB00349;DB00371;DB00395;DB00402;DB00404;DB00475;DB00543;DB00555;DB00603;DB00628;DB00683;DB00690;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB00898;DB01028;DB01043;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01381;DB01437;DB01544;DB01558;DB01559;DB01587;DB01588;DB01589;DB01595;DB01708;DB01956;DB02530;DB05087;DB06716;DB09118;DB11859;DB11901;DB12404;DB12537;DB13872;DB15490
drugbank_target|P47895,2.08e-137,drugbank_target|P47895 Retinaldehyde dehydrogenase 3 (DB00157; DB00162),P47895,DB00157;DB00162
drugbank_target|P47898,7.81e-38,drugbank_target|P47898 5-hydroxytryptamine receptor 5A (DB00246; DB00408; DB01238; DB06216; DB13520),P47898,DB00246;DB00408;DB01238;DB06216;DB13520
drugbank_target|P47989,0,drugbank_target|P47989 Xanthine dehydrogenase/oxidase (DB00437; DB00583; DB01250; DB03147; DB04854; DB11672; DB16628),P47989,DB00437;DB00583;DB01250;DB03147;DB04854;DB11672;DB16628
drugbank_target|P48029,2.91e-150,drugbank_target|P48029 Sodium- and chloride-dependent creatine transporter 1 (DB00148),P48029,DB00148
drugbank_target|P48047,6.93e-47,"drugbank_target|P48047 ATP synthase subunit O, mitochondrial (DB01119)",P48047,DB01119;DB11638
drugbank_target|P48048,3.45e-61,drugbank_target|P48048 ATP-sensitive inward rectifier potassium channel 1 (DB00867; DB01392; DB11148),P48048,DB00217;DB00222;DB00350;DB00414;DB00867;DB01124;DB01382;DB01392;DB11148
drugbank_target|P48050,3.77e-74,drugbank_target|P48050 Inward rectifier potassium channel 4 (DB00243; DB01110; DB04855),P48050,DB00243;DB01110;DB01136;DB04855
drugbank_target|P48051,1.14e-58,drugbank_target|P48051 G protein-activated inward rectifier potassium channel 2 (DB00898; DB01159; DB11633),P48051,DB00898;DB01159;DB11633
drugbank_target|P48058,1.83e-132,drugbank_target|P48058 Glutamate receptor 4 (DB00142; DB00237; DB00898; DB08883; DB13146),P48058,DB00142;DB00237;DB00898;DB08883;DB13146
drugbank_target|P48066,1.58e-157,drugbank_target|P48066 Sodium- and chloride-dependent GABA transporter 3 (DB02530),P48066,DB02530
drugbank_target|P48163,0,drugbank_target|P48163 NADP-dependent malic enzyme (DB00157),P48163,DB00157
drugbank_target|P48167,3.18e-74,drugbank_target|P48167 Glycine receptor subunit beta (DB09061),P48167,DB00145;DB00431;DB01956;DB09061
drugbank_target|P48169,2.69e-74,drugbank_target|P48169 Gamma-aminobutyric acid receptor subunit alpha-4 (DB00186; DB00189; DB00228; DB00231; DB00237; DB00241; DB00252; DB00292; DB00306; DB00312; DB00349; DB00371; DB00402; DB00404; DB00475; DB00543; DB00555; DB00603; DB00628; DB00683; DB00690; DB00753; DB00794; DB00801; DB00818; DB00829; DB00842; DB00897; DB01028; DB01043; DB01068; DB01107; DB01159; DB01189; DB01205; DB01215; DB01236; DB01437; DB01544; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595; DB01708; DB01956; DB05087; DB09118; DB11859; DB11901; DB12404; DB12537; DB13872; DB15490),P48169,DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00252;DB00292;DB00306;DB00312;DB00349;DB00371;DB00402;DB00404;DB00418;DB00475;DB00543;DB00555;DB00599;DB00603;DB00628;DB00683;DB00690;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00849;DB00897;DB00898;DB01028;DB01043;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01351;DB01353;DB01437;DB01544;DB01558;DB01559;DB01587;DB01588;DB01589;DB01595;DB01708;DB01956;DB05087;DB09118;DB11859;DB11901;DB12404;DB12537;DB13872;DB15490
drugbank_target|P48181,0,drugbank_target|P48181 Acetylcholine receptor subunit beta-type unc-29 (DB00848),P48181,DB00848
